"time","outputs"
0.302,7.687421088234802 2.948832215803129 0 0
0.303,7.677501752386667 2.958123646455971 0 0
0.304,7.667273891979037 2.967410423730416 0 0
0.305,7.656738450412435 2.976692532961375 0 0
0.306,7.645896679232277 2.985969959491131 0 0
0.307,7.63475013690819 2.995242688669361 0 0
0.308,7.623300687310426 3.004510705853159 0 0
0.309,7.611550497884874 3.013773996407062 0 0
0.31,7.599502037528475 3.02303254570307 0 0
0.311,7.587158074167126 3.032286339120668 0 0
0.312,7.574521672038486 3.041535362046855 0 0
0.313,7.561596188682334 3.050779599876161 0 0
0.314,7.548385271641474 3.060019038010672 0 0
0.315,7.534892854876441 3.069253661860055 0 0
0.316,7.521123154897523 3.078483456841577 0 0
0.317,7.507080666617949 3.087708408380133 0 0
0.318,7.492770158932314 3.096928501908266 0 0
0.319,7.478196670024602 3.106143722866188 0 0
0.32,7.46336550241046 3.115354056701809 0 0
0.321,7.448282217718591 3.124559488870753 0 0
0.322,7.432952631216428 3.133760004836387 0 0
0.323,7.417382806085487 3.142955590069841 0 0
0.324,7.401579047452062 3.152146230050029 0 0
0.325,7.385547896179125 3.161331910263678 0 0
0.326,7.369296122425594 3.170512616205345 0 0
0.327,7.352830718979283 3.17968833337744 0 0
0.328,7.336158894370163 3.188859047290256 0 0
0.329,7.319288065770679 3.198024743461982 0 0
0.33,7.302225851690171 3.207185407418732 0 0
0.331,7.284980064470584 3.21634102469457 0 0
0.332,7.267558702590883 3.225491580831525 0 0
0.333,7.249969942787769 3.234637061379619 0 0
0.334,7.232222132000457 3.243777451896892 0 0
0.335,7.214323779147493 3.252912737949417 0 0
0.336,7.196283546743693 3.262042905111333 0 0
0.337,7.178110242365507 3.271167938964859 0 0
0.338,7.159812809973206 3.28028782510032 0 0
0.339,7.141400321098471 3.289402549116172 0 0
0.34,7.12288196590608 3.298512096619022 0 0
0.341,7.104267044138501 3.30761645322365 0 0
0.342,7.085564955952347 3.316715604553034 0 0
0.343,7.066785192655722 3.325809536238373 0 0
0.344,7.0479373273556 3.334898233919108 0 0
0.345,7.029031005524478 3.343981683242943 0 0
0.346,7.010075935495596 3.353059869865873 0 0
0.347,6.991081878896122 3.362132779452202 0 0
0.348,6.972058641027727 3.371200397674567 0 0
0.349,6.953016061204049 3.380262710213962 0 0
0.35,6.933964003054596 3.389319702759758 0 0
0.351,6.914912344804627 3.398371361009727 0 0
0.352,6.895870969540632 3.407417670670066 0 0
0.353,6.876849755470999 3.416458617455417 0 0
0.354,6.857858566191495 3.42549418708889 0 0
0.355,6.838907240965152 3.434524365302088 0 0
0.356,6.820005585026161 3.443549137835127 0 0
0.357,6.801163359917341 3.45256849043666 0 0
0.358,6.782390273870717 3.461582408863897 0 0
0.359,6.763695972240696 3.470590878882631 0 0
0.36,6.7450900279993 3.479593886267258 0 0
0.361,6.726581932302806 3.488591416800801 0 0
0.362,6.708181085139135 3.49758345627493 0 0
0.363,6.689896786065193 3.506569990489989 0 0
0.364,6.67173822504333 3.515551005255012 0 0
0.365,6.65371447338593 3.524526486387752 0 0
0.366,6.635834474817099 3.533496419714699 0 0
0.367,6.618107036660256 3.542460791071103 0 0
0.368,6.600540821160321 3.551419586300999 0 0
0.369,6.583144336949073 3.560372791257227 0 0
0.37,6.565925930662101 3.569320391801453 0 0
0.371,6.54889377871561 3.578262373804196 0 0
0.372,6.532055879251205 3.587198723144844 0 0
0.373,6.515420044256609 3.596129425711682 0 0
0.374,6.498993891870073 3.605054467401913 0 0
0.375,6.482784838876095 3.613973834121676 0 0
0.376,6.46680009339983 3.622887511786076 0 0
0.377,6.451046647807423 3.631795486319197 0 0
0.378,6.435531271819251 3.640697743654132 0 0
0.379,6.420260505842894 3.649594269733002 0 0
0.38,6.405240654532388 3.658485050506977 0 0
0.381,6.390477780580139 3.667370071936302 0 0
0.382,6.375977698747605 3.676249319990315 0 0
0.383,6.36174597014066 3.68512278064747 0 0
0.384,6.347787896735264 3.693990439895363 0 0
0.385,6.334108516158861 3.702852283730749 0 0
0.386,6.320712596732648 3.711708298159567 0 0
0.387,6.307604632779602 3.720558469196961 0 0
0.388,6.294788840202912 3.729402782867303 0 0
0.389,6.282269152339153 3.738241225204216 0 0
0.39,6.270049216090325 3.747073782250591 0 0
0.391,6.25813238833855 3.755900440058617 0 0
0.392,6.24652173264698 3.764721184689794 0 0
0.393,6.235220016250161 3.773536002214964 0 0
0.394,6.224229707336833 3.782344878714327 0 0
0.395,6.213552972627839 3.791147800277463 0 0
0.396,6.20319167525154 3.79994475300336 0 0
0.397,6.193147372918831 3.808735723000426 0 0
0.398,6.18342131639955 3.817520696386521 0 0
0.399,6.174014448301805 3.826299659288972 0 0
0.4,6.164927402155397 3.8350725978446 0 0
0.401,6.156160501800261 3.843839498199736 0 0
0.402,6.14771376108053 3.852600346510248 0 0
0.402,6.14771376108053 3.852600346510248 0 0
0.403,6.13958688384451 3.851355128941561 0.01000000000000001 0
0.404,6.131779264250578 3.850103831668678 0.02000000000000002 0
0.405,6.124289987378695 3.848846440876204 0.03000000000000003 0
0.406,6.117117830146936 3.847582942758365 0.04000000000000004 0
0.407,6.110261262532126 3.846313323519033 0.05000000000000004 0
0.408,6.103718449093381 3.845037569371744 0.06000000000000005 0
0.409,6.09748725079705 3.843755666539723 0.07000000000000006 0
0.41,6.09156522714126 3.842467601255906 0.08000000000000007 0
0.411,6.085949638577958 3.841173359762957 0.09000000000000008 0
0.412,6.080637449230071 3.839872928313297 0.1000000000000001 0
0.413,6.075625329901097 3.838566293169118 0.1100000000000001 0
0.414,6.070909661374151 3.837253440602411 0.1200000000000001 0
0.415,6.066486537997228 3.835934356894985 0.1300000000000001 0
0.416,6.062351771551121 3.834609028338487 0.1400000000000001 0
0.417,6.058500895396198 3.833277441234428 0.1499999999999996 0
0.418,6.05492916889393 3.8319395818942 0.1599999999999996 0
